filepath,label,split
LYM/LYM_1703.png,LYM,train
LYM/LYM_3491.png,LYM,train
LYM/LYM_1117.png,LYM,train
LYM/LYM_3780.png,LYM,train
LYM/LYM_2926.png,LYM,train
LYM/LYM_3414.png,LYM,train
LYM/LYM_97.png,LYM,train
LYM/LYM_1256.png,LYM,train
LYM/LYM_1849.png,LYM,train
LYM/LYM_3279.png,LYM,train
LYM/LYM_767.png,LYM,train
LYM/LYM_3799.png,LYM,train
LYM/LYM_3231.png,LYM,train
LYM/LYM_3800.png,LYM,train
LYM/LYM_1185.png,LYM,train
LYM/LYM_2201.png,LYM,train
LYM/LYM_3331.png,LYM,train
LYM/LYM_2245.png,LYM,train
LYM/LYM_1136.png,LYM,train
LYM/LYM_1612.png,LYM,train
LYM/LYM_1741.png,LYM,train
LYM/LYM_1873.png,LYM,train
LYM/LYM_371.png,LYM,train
LYM/LYM_1480.png,LYM,train
LYM/LYM_3825.png,LYM,train
LYM/LYM_2076.png,LYM,train
LYM/LYM_1115.png,LYM,train
LYM/LYM_732.png,LYM,train
LYM/LYM_1840.png,LYM,train
LYM/LYM_3689.png,LYM,train
LYM/LYM_2997.png,LYM,train
LYM/LYM_3428.png,LYM,train
LYM/LYM_122.png,LYM,train
LYM/LYM_3135.png,LYM,train
LYM/LYM_3322.png,LYM,train
LYM/LYM_1054.png,LYM,train
LYM/LYM_388.png,LYM,train
LYM/LYM_3163.png,LYM,train
LYM/LYM_2614.png,LYM,train
LYM/LYM_3078.png,LYM,train
LYM/LYM_1294.png,LYM,train
LYM/LYM_3215.png,LYM,train
LYM/LYM_1165.png,LYM,train
LYM/LYM_1889.png,LYM,train
LYM/LYM_3343.png,LYM,train
LYM/LYM_1834.png,LYM,train
LYM/LYM_3772.png,LYM,train
LYM/LYM_1971.png,LYM,train
LYM/LYM_1852.png,LYM,train
LYM/LYM_1457.png,LYM,train
LYM/LYM_711.png,LYM,train
LYM/LYM_1399.png,LYM,train
LYM/LYM_1121.png,LYM,train
LYM/LYM_525.png,LYM,train
LYM/LYM_1528.png,LYM,train
LYM/LYM_2744.png,LYM,train
LYM/LYM_1271.png,LYM,train
LYM/LYM_987.png,LYM,train
LYM/LYM_342.png,LYM,train
LYM/LYM_1259.png,LYM,train
LYM/LYM_652.png,LYM,train
LYM/LYM_2578.png,LYM,train
LYM/LYM_3750.png,LYM,train
LYM/LYM_2269.png,LYM,train
LYM/LYM_2768.png,LYM,train
LYM/LYM_466.png,LYM,train
LYM/LYM_1409.png,LYM,train
LYM/LYM_479.png,LYM,train
LYM/LYM_3388.png,LYM,train
LYM/LYM_2537.png,LYM,train
LYM/LYM_2227.png,LYM,train
LYM/LYM_3188.png,LYM,train
LYM/LYM_1182.png,LYM,train
LYM/LYM_2721.png,LYM,train
LYM/LYM_2238.png,LYM,train
LYM/LYM_2377.png,LYM,train
LYM/LYM_585.png,LYM,train
LYM/LYM_1475.png,LYM,train
LYM/LYM_2649.png,LYM,train
LYM/LYM_1173.png,LYM,train
LYM/LYM_146.png,LYM,train
LYM/LYM_3793.png,LYM,train
LYM/LYM_1654.png,LYM,train
LYM/LYM_3001.png,LYM,train
LYM/LYM_3267.png,LYM,train
LYM/LYM_117.png,LYM,train
LYM/LYM_944.png,LYM,train
LYM/LYM_3241.png,LYM,train
LYM/LYM_1249.png,LYM,train
LYM/LYM_3346.png,LYM,train
LYM/LYM_260.png,LYM,train
LYM/LYM_903.png,LYM,train
LYM/LYM_1875.png,LYM,train
LYM/LYM_1378.png,LYM,train
LYM/LYM_1511.png,LYM,train
LYM/LYM_703.png,LYM,train
LYM/LYM_57.png,LYM,train
LYM/LYM_3138.png,LYM,train
LYM/LYM_3005.png,LYM,train
LYM/LYM_1403.png,LYM,train
LYM/LYM_501.png,LYM,train
LYM/LYM_2391.png,LYM,train
LYM/LYM_1131.png,LYM,train
LYM/LYM_1467.png,LYM,train
LYM/LYM_1592.png,LYM,train
LYM/LYM_3357.png,LYM,train
LYM/LYM_3859.png,LYM,train
LYM/LYM_1039.png,LYM,train
LYM/LYM_3047.png,LYM,train
LYM/LYM_2770.png,LYM,train
LYM/LYM_1323.png,LYM,train
LYM/LYM_1946.png,LYM,train
LYM/LYM_2019.png,LYM,train
LYM/LYM_1325.png,LYM,train
LYM/LYM_191.png,LYM,train
LYM/LYM_3065.png,LYM,train
LYM/LYM_668.png,LYM,train
LYM/LYM_1176.png,LYM,train
LYM/LYM_2206.png,LYM,train
LYM/LYM_263.png,LYM,train
LYM/LYM_2335.png,LYM,train
LYM/LYM_654.png,LYM,train
LYM/LYM_1273.png,LYM,train
LYM/LYM_3226.png,LYM,train
LYM/LYM_1082.png,LYM,train
LYM/LYM_3728.png,LYM,train
LYM/LYM_1591.png,LYM,train
LYM/LYM_2107.png,LYM,train
LYM/LYM_2956.png,LYM,train
LYM/LYM_1330.png,LYM,train
LYM/LYM_3721.png,LYM,train
LYM/LYM_273.png,LYM,train
LYM/LYM_3875.png,LYM,train
LYM/LYM_1196.png,LYM,train
LYM/LYM_238.png,LYM,train
LYM/LYM_1912.png,LYM,train
LYM/LYM_2151.png,LYM,train
LYM/LYM_3457.png,LYM,train
